id,grade
460203,59
1054451,5
541065,66
2006475,0
1176289,63
1694569,48
3164525,78
3204205,33
2104948,79
2553604,26
920141,60
3075179,49
3281352,7
1187493,18
1678683,66
3338910,8
1620971,84
1069295,8
3810761,78
1440216,12
2051353,69
613141,86
2221403,43
3875057,90
2890638,47
3033344,79
819830,41
2013621,9
1633337,25
1710723,11
3210168,7
1418700,67
2002391,56
1065373,54
3848293,26
3557205,69
2711557,91
474766,28
3776086,36
3320777,25
3842691,76
3551905,98
379719,10
3247419,63
561735,96
494833,35
2735518,15
2848018,69
577703,31
1498865,74
2704047,50
546563,31
3719341,95
1431774,24
3971342,72
722035,0
1733743,60
3194104,15
136025,3
1145227,39
980071,26
2910160,24
2863125,33
876353,54
1277204,98
3278815,100
1813676,89
212189,37
456322,61
781033,87
3029096,34
1129480,78
2563912,9
3503917,96
3882914,38
1195421,44
2774465,45
1747604,57
845483,12
217654,47
2199996,37
2374189,27
3207967,86
3891328,28
2311873,55
3246079,92
774999,22
869104,99
2645010,80
2656048,10
3563774,76
3917545,85
1280194,58
1461579,30
3402790,67
1370847,25
2614017,84
733334,84
1613422,9
2965595,24
3403640,89
3134113,74
2094715,59
2301270,49
1459281,81
1603738,43
1748705,45
3893358,37
2158064,53
3993270,64
1080581,86
1956040,21
3363468,7
238706,85
1087146,62
2399408,50
3498889,35
3264499,41
2943884,82
2827682,46
3571884,78
2718768,92
1682893,72
105836,76
3448590,40
3395251,42
240638,75
2533902,67
3696955,94
1363206,70
1045268,9
948505,53
409410,70
2381140,83
513150,85
3411680,0
2311294,24
1041479,93
896368,22
2806056,45
2462919,64
843190,8
3737869,73
2177441,100
2936294,48
1489968,33
908272,83
2488383,27
3648959,22
3151151,98
377992,4
1021701,71
3993680,0
938407,0
3273249,54
807472,15
3812537,21
2865552,45
2210354,47
3314080,7
2403454,19
1989061,79
747409,3
124698,62
3261873,46
1931951,48
3196007,33
1863921,34
3125543,54
2304268,9
496873,1
363050,29
582565,85
726995,25
1310453,29
3179849,58
2880099,11
2392465,2
2621654,78
1705629,57
1967304,93
1435373,66
3175244,23
3481678,42
1339238,96
579611,34
2088339,89
909218,23
2566538,41
2426328,82
2644696,32
1355853,15
3814723,70
1341290,48
3046430,99
2878126,50
2572736,42
3241239,17
349824,93
165781,4
567713,9
1911654,90
3825987,21
1723720,34
3493090,34
2232991,40
1697125,72
1788487,8
912519,79
3755475,64
303931,54
1450260,53
2086490,85
2057630,10
1219864,12
1915095,4
562607,60
389053,52
2613046,81
3183734,53
2417355,21
124224,75
1352190,23
1673675,85
3012892,40
248992,77
253457,1
1245669,53
2448803,30
303198,84
3254530,82
2523982,69
262398,85
2829766,78
2560747,72
3851292,64
3656454,39
1788000,46
1929015,88
3901916,61
844722,62
3859111,20
3517462,74
954188,9
1319374,59
2141587,99
3463560,10
111003,11
174784,76
3311352,38
2209008,13
2695463,62
2147755,72
545448,60
3072335,94
1137937,53
1934763,7
1040733,91
2513254,93
807061,5
3917247,90
1830200,87
316552,37
1893890,83
3908083,59
3215289,2
2106165,70
2827193,72
2122412,26
